Date,Time,Open,High,Low,Close,Volume,SMA9,SMA21,SMA220,EMA_Cross,Target_Reached,Predicted_Close,Probability,Confidence,Signal,Daily_Return,Strategy_Return,Cumulative_Returns
2024-10-31,00:30:00,0.51,0.49,0.49,0.49,0.02,0.52,0.59,0.92,-0.06,1,0.51,1.0,1.0,1,-0.03921568627450989,-0.0,0.9547500592276711
2024-10-31,01:00:00,0.49,0.48,0.5,0.49,0.01,0.51,0.57,0.92,-0.06,1,0.49,1.0,1.0,0,0.0,0.0,0.9547500592276711
2024-10-31,01:30:00,0.49,0.47,0.48,0.48,0.02,0.5,0.56,0.91,-0.05,1,0.49,1.0,1.0,1,-0.020408163265306145,-0.0,0.9547500592276711
2024-10-31,02:00:00,0.47,0.45,0.45,0.45,0.03,0.49,0.54,0.91,-0.05,1,0.47,0.97,0.97,1,-0.06249999999999989,-0.06249999999999989,0.8950781805259418
2024-10-31,02:30:00,0.45,0.42,0.39,0.42,0.06,0.48,0.53,0.9,-0.05,1,0.42,0.99,0.99,0,-0.06666666666666676,-0.06666666666666676,0.8354063018242123
2024-10-31,03:00:00,0.42,0.4,0.39,0.4,0.04,0.46,0.51,0.89,-0.05,1,0.4,1.0,1.0,0,-0.04761904761904756,-0.0,0.8354063018242123
2024-10-31,03:30:00,0.4,0.37,0.37,0.39,0.07,0.44,0.5,0.88,-0.06,1,0.39,1.0,1.0,0,-0.025000000000000022,-0.0,0.8354063018242123
2024-10-31,04:00:00,0.38,0.38,0.36,0.4,0.05,0.43,0.49,0.88,-0.06,1,0.4,1.0,1.0,0,0.025641025641025772,0.0,0.8354063018242123
2024-10-31,04:30:00,0.39,0.37,0.39,0.39,0.03,0.41,0.48,0.87,-0.07,1,0.39,1.0,1.0,0,-0.025000000000000022,-0.0,0.8354063018242123
2024-10-31,05:00:00,0.39,0.38,0.39,0.4,0.03,0.4,0.47,0.86,-0.07,1,0.4,1.0,1.0,0,0.025641025641025772,0.0,0.8354063018242123
2024-10-31,05:30:00,0.4,0.37,0.37,0.39,0.03,0.39,0.47,0.85,-0.08,1,0.39,1.0,1.0,0,-0.025000000000000022,-0.0,0.8354063018242123
2024-10-31,06:00:00,0.39,0.39,0.39,0.43,0.03,0.38,0.46,0.85,-0.08,1,0.41,1.0,1.0,0,0.10256410256410242,0.0,0.8354063018242123
2024-10-31,06:30:00,0.43,0.43,0.43,0.45,0.06,0.38,0.45,0.84,-0.07,1,0.44,0.97,0.97,0,0.04651162790697683,0.0,0.8354063018242123
2024-10-31,07:00:00,0.45,0.46,0.43,0.49,0.06,0.39,0.45,0.84,-0.06,1,0.48,0.96,0.96,0,0.0888888888888888,0.0,0.8354063018242123
2024-10-31,07:30:00,0.49,0.49,0.47,0.52,0.08,0.41,0.45,0.83,-0.04,1,0.5,0.94,0.94,0,0.061224489795918435,0.0,0.8354063018242123
2024-10-31,08:00:00,0.51,0.49,0.48,0.48,0.13,0.42,0.44,0.83,-0.03,0,0.5,0.48,0.48,0,-0.07692307692307698,-0.0,0.8354063018242123
2024-10-31,08:30:00,0.48,0.46,0.46,0.46,0.14,0.42,0.44,0.82,-0.01,0,0.47,0.3,0.3,0,-0.04166666666666663,-0.0,0.8354063018242123
2024-10-31,09:00:00,0.46,0.43,0.19,0.2,1.0,0.4,0.42,0.81,-0.02,0,0.24,0.13,0.13,0,-0.5652173913043479,-0.0,0.8354063018242123
2024-10-31,09:30:00,0.2,0.2,0.14,0.16,0.64,0.37,0.4,0.8,-0.03,0,0.19,0.2,0.2,0,-0.20000000000000007,-0.0,0.8354063018242123
2024-10-31,10:00:00,0.17,0.14,0.08,0.1,0.53,0.34,0.38,0.79,-0.04,0,0.11,0.22,0.22,0,-0.375,-0.0,0.8354063018242123
2024-10-31,10:30:00,0.1,0.09,0.06,0.11,0.51,0.3,0.36,0.77,-0.06,1,0.1,0.83,0.83,0,0.09999999999999987,0.0,0.8354063018242123
