Date,Time,Open,High,Low,Close,Volume,SMA9,SMA21,SMA220
2024-10-31,19:30:00,20074,20084.75,20050,20082.25,2403,20070.8611111111,20091.8928571428,20519.5204545455
2024-10-31,20:00:00,20082.25,20084.5,20065.5,20073.75,1595,20070.0277777778,20078.0238095238,20518.0840909091
2024-10-31,20:30:00,20072.5,20082,20066.5,20071.75,1494,20076.5,20073.5357142857,20516.5693181818
2024-10-31,21:00:00,20071.25,20072,20053,20057.5,1631,20073.9444444444,20069.6071428571,20515.0715909091
2024-10-31,21:30:00,20058.25,20064.25,20017,20063.75,3530,20076.25,20068.4404761905,20513.5363636364
2024-10-31,22:00:00,20063.5,20075,20058.75,20074.25,1284,20075.0277777778,20067.3214285714,20511.8818181818
2024-10-31,22:30:00,20075.5,20101.75,20072.25,20093,2731,20075.2222222222,20068.4523809524,20510.4420454545
2024-10-31,23:00:00,20093,20100,20085.25,20087,1516,20075.2222222222,20068.4404761905,20508.925
2024-10-31,23:30:00,20087.25,20096,20084.25,20093,1048,20077.3611111111,20068.75,20507.35
2024-11-01,00:00:00,20091.75,20100,20073.5,20081,1828,20077.2222222222,20069.3214285714,20505.7454545455
2024-11-01,00:30:00,20081.5,20118,20077.25,20117,2402,20082.0277777778,20073.2023809524,20504.2886363636
2024-11-01,01:00:00,20118,20127,20109.25,20120.5,2471,20087.4444444444,20077.0595238095,20502.8818181818
2024-11-01,01:30:00,20121.5,20123.25,20083,20090.25,1963,20091.0833333333,20079.0714285714,20501.3659090909
2024-11-01,02:00:00,20090,20098.25,20062,20075.75,2213,20092.4166666667,20078.8095238095,20499.6852272727
2024-11-01,02:30:00,20076.25,20093.25,20055.25,20058.75,2724,20090.6944444444,20080.9642857143,20497.8738636364
2024-11-01,03:00:00,20060.25,20098.5,20058.25,20089.75,2427,20090.3333333333,20081.4047619048,20496.0465909091
2024-11-01,03:30:00,20090.75,20116.75,20085.75,20105.75,5195,20092.4166666667,20084.3928571428,20494.2943181818
2024-11-01,04:00:00,20105.25,20112,20081.75,20096,2862,20092.75,20084.9047619048,20491.7784090909
2024-11-01,04:30:00,20096.75,20112.5,20089,20109,2364,20095.8611111111,20085.75,20489.1204545455
2024-11-01,05:00:00,20109,20109.25,20087.25,20094.75,2219,20093.3888888889,20086.119047619,20486.5704545455
2024-11-01,05:30:00,20095.25,20111.75,20088.25,20105.25,1808,20091.6944444444,20087.619047619,20484.1613636364
2024-11-01,06:00:00,20105.5,20120.75,20098.25,20112.25,2119,20094.1388888889,20089.0476190476,20481.8522727273
2024-11-01,06:30:00,20112,20115.75,20092.75,20112,2900,20098.1666666667,20090.869047619,20479.3602272727
2024-11-01,07:00:00,20112.25,20131.75,20101,20107.75,3658,20103.6111111111,20092.5833333333,20476.9454545455
2024-11-01,07:30:00,20109.5,20120.5,20095,20100.75,4265,20104.8333333333,20094.6428571428,20474.8363636364
2024-11-01,08:00:00,20104,20146.5,20077,20113.5,15959,20105.6944444444,20097.0119047619,20473.0318181818
2024-11-01,08:30:00,20113.5,20114,20064,20068.75,12911,20102.6666666667,20096.75,20470.9102272727
2024-11-01,09:00:00,20069,20175.75,20057.5,20169.75,57877,20109.4166666667,20100.4047619048,20469.2136363636
2024-11-01,09:30:00,20171.5,20271,20132.25,20270,53082,20128.8888888889,20109.119047619,20468.1034090909
2024-11-01,10:00:00,20270.75,20277,20155.75,20235,52175,20143.3055555556,20115.8809523809,20466.9238636364
2024-11-01,10:30:00,20235.5,20288,20213.75,20283,34885,20162.2777777778,20125.5,20466.0295454545
2024-11-01,11:00:00,20283,20286.75,20208.25,20221.75,29671,20174.4722222222,20130.4880952381,20464.8738636364
2024-11-01,11:30:00,20222.25,20253.75,20216.5,20220.75,19899,20187.0277777778,20135.2619047619,20463.1136363636
2024-11-01,12:00:00,20221,20253,20191.25,20210.75,21449,20199.25,20141,20461.3079545455
2024-11-01,12:30:00,20211,20252.75,20169,20246,26154,20213.9722222222,20149.1071428571,20459.6852272727
2024-11-01,13:00:00,20246.5,20248.75,20155.25,20157.25,31692,20223.8055555556,20153.7976190476,20457.6806818182
2024-11-01,13:30:00,20157.75,20179.5,20127.75,20161.5,22539,20222.8888888889,20157.2142857143,20455.5693181818
2024-11-01,14:00:00,20161.25,20179.75,20148,20166.25,15669,20211.3611111111,20160.0952380952,20453.5306818182
2024-11-01,14:30:00,20166.25,20202.25,20154.25,20157,19469,20202.6944444444,20163,20451.3443181818
2024-11-01,15:00:00,20157.25,20187.75,20122.75,20146.25,41260,20187.5,20164.7738095238,20449.1647727273
2024-11-01,15:30:00,20146,20184.5,20145.5,20169.75,11131,20181.7222222222,20168.3452380952,20447.1409090909
2024-11-01,16:00:00,20170.25,20178,20160,20170.25,2658,20176.1111111111,20171.4404761905,20445.0659090909
2024-11-03,17:30:00,20138,20139.75,20070.5,20137,8190,20167.9166666667,20172.619047619,20442.8636363636
2024-11-03,18:00:00,20138,20158,20134.5,20135,7800,20155.5833333333,20173.7142857143,20440.6852272727
2024-11-03,18:30:00,20135,20145.75,20118.75,20137.75,3574,20153.4166666667,20175.1428571428,20438.4784090909
2024-11-03,19:00:00,20136.75,20137.25,20121,20130,1754,20149.9166666667,20176.5357142857,20436.0863636364
2024-11-03,19:30:00,20130,20156.25,20124.25,20147.25,1856,20147.8055555556,20178.1428571428,20433.9068181818
2024-11-03,20:00:00,20147.75,20200,20146.25,20191,3739,20151.5833333333,20183.9642857143,20432.0136363636
2024-11-03,20:30:00,20191,20229.5,20183.75,20226.75,3338,20160.5277777778,20186.6785714286,20430.2386363636
2024-11-03,21:00:00,20227.5,20248.5,20205.25,20211.5,2717,20165.1666666667,20183.8928571428,20428.3772727273
2024-11-03,21:30:00,20211.75,20230.5,20206,20229.75,1643,20171.7777777778,20183.6428571428,20426.5079545455
2024-11-03,22:00:00,20229.75,20233.5,20213.5,20219,2103,20180.8888888889,20180.5952380952,20424.6409090909
2024-11-03,22:30:00,20219,20228.5,20215.5,20227.5,1012,20191.1666666667,20180.869047619,20422.7238636364
2024-11-03,23:00:00,20228,20241.25,20220,20234,1536,20201.8611111111,20181.5,20420.7829545455
2024-11-03,23:30:00,20233.75,20233.75,20218.25,20226,1103,20212.5277777778,20182.22619047
